"Site_ID","Plant.sp","Plant.ID","Fruit.nº"
"LaRocina","Anchusa azurea","A1",2
"Niebla","Asphodelus fistulosus","A1",5
"Pinodelcuervo","Asphodelus fistulosus","A1",3
"CotitodeSantaTeresa","Astragalus lusitanicus","A1",2
"CotitodeSantaTeresa","Cistus albidus","A1",2
"Bonares","Cistus crispus","A1",3
"Niebla","Cistus crispus","A1",2
"Pinodelcuervo","Cistus crispus","A1",4
"Villamanriquesur","Cistus crispus","A1",5
"Aznalcazar","Cistus ladanifer","A1",1
"Bonares","Cistus ladanifer","A1",2
"ConventodelaLuz","Cistus ladanifer","A1",1
"Lasmulas","Cistus ladanifer","A1",1
"Villamanriquesur","Cistus ladanifer","A1",2
"Lasmulas","Cistus libanotis","A1",3
"PinaresdeHinojos","Cistus libanotis","A1",1
"Niebla","Cistus monspeliensis","A1",1
"Aznalcazar","Cistus salvifolius","A1",3
"Bonares","Cistus salvifolius","A1",1
"CotitodeSantaTeresa","Cistus salvifolius","A1",2
"Esparragal","Cistus salvifolius","A1",2
"LaCunya","Cistus salvifolius","A1",2
"Lasmulas","Cistus salvifolius","A1",2
"PinaresdeHinojos","Cistus salvifolius","A1",2
"Urbanizaciones","Cistus salvifolius","A1",1
"Villamanriqueeste","Cistus salvifolius","A1",3
"Villamanriquesur","Cistus salvifolius","A1",4
"LaRocina","Halimium commutatum","A1",3
"Urbanizaciones","Halimium commutatum","A1",1
"ConventodelaLuz","Halimium halimifolium","A1",2
"Esparragal","Halimium halimifolium","A1",3
"LaRocina","Halimium halimifolium","A1",1
"Villamanriquesur","Halimium halimifolium","A1",2
"Aznalcazar","Lavandula pedunculata","A1",3
"Esparragal","Lavandula pedunculata","A1",2
"LaCunya","Lavandula pedunculata","A1",2
"Urbanizaciones","Lavandula pedunculata","A1",4
"Bonares","Lavandula stoechas","A1",3
"ConventodelaLuz","Lavandula stoechas","A1",4
"CotitodeSantaTeresa","Lavandula stoechas","A1",5
"Lasmulas","Lavandula stoechas","A1",5
"Urbanizaciones","Lavandula stoechas","A1",4
"Niebla","Phlomis purpurea","A1",5
"ConventodelaLuz","Rosmarinus officinalis","A1",3
"CotitodeSantaTeresa","Rosmarinus officinalis","A1",5
"Elpinar","Rosmarinus officinalis","A1",4
"Elpozo","Rosmarinus officinalis","A1",6
"LaCunya","Rosmarinus officinalis","A1",4
"LaRocina","Rosmarinus officinalis","A1",8
"Pinodelcuervo","Rosmarinus officinalis","A1",4
"Urbanizaciones","Rosmarinus officinalis","A1",4
"Elpozo","Spartium junceum","A1",2
"Bonares","Ulex australis","A1",1
"LaRocina","Anchusa azurea","A2",2
"Niebla","Asphodelus fistulosus","A2",4
"CotitodeSantaTeresa","Cistus albidus","A2",3
"Bonares","Cistus crispus","A2",2
"Niebla","Cistus crispus","A2",2
"Pinodelcuervo","Cistus crispus","A2",3
"Aznalcazar","Cistus ladanifer","A2",2
"Bonares","Cistus ladanifer","A2",1
"ConventodelaLuz","Cistus ladanifer","A2",1
"Lasmulas","Cistus ladanifer","A2",2
"Pinodelcuervo","Cistus ladanifer","A2",3
"Lasmulas","Cistus libanotis","A2",1
"PinaresdeHinojos","Cistus libanotis","A2",1
"Niebla","Cistus monspeliensis","A2",3
"Bonares","Cistus salvifolius","A2",1
"CotitodeSantaTeresa","Cistus salvifolius","A2",2
"Esparragal","Cistus salvifolius","A2",1
"LaCunya","Cistus salvifolius","A2",1
"Lasmulas","Cistus salvifolius","A2",1
"PinaresdeHinojos","Cistus salvifolius","A2",1
"Urbanizaciones","Cistus salvifolius","A2",2
"Villamanriqueeste","Cistus salvifolius","A2",3
"LaRocina","Halimium commutatum","A2",1
"Urbanizaciones","Halimium commutatum","A2",5
"ConventodelaLuz","Halimium halimifolium","A2",2
"Esparragal","Halimium halimifolium","A2",2
"Villamanriquesur","Halimium halimifolium","A2",2
"Aznalcazar","Lavandula pedunculata","A2",2
"Esparragal","Lavandula pedunculata","A2",2
"LaCunya","Lavandula pedunculata","A2",3
"Urbanizaciones","Lavandula pedunculata","A2",3
"Bonares","Lavandula stoechas","A2",4
"ConventodelaLuz","Lavandula stoechas","A2",4
"CotitodeSantaTeresa","Lavandula stoechas","A2",4
"Lasmulas","Lavandula stoechas","A2",3
"Urbanizaciones","Lavandula stoechas","A2",1
"Niebla","Phlomis purpurea","A2",4
"Elpinar","Rosmarinus officinalis","A2",3
"Elpozo","Rosmarinus officinalis","A2",6
"LaCunya","Rosmarinus officinalis","A2",2
"Urbanizaciones","Rosmarinus officinalis","A2",2
"Elpozo","Spartium junceum","A2",4
"Bonares","Ulex australis","A2",6
"LaRocina","Anchusa azurea","A3",1
"Niebla","Asphodelus fistulosus","A3",2
"Pinodelcuervo","Asphodelus fistulosus","A3",4
"Bonares","Cistus crispus","A3",1
"Niebla","Cistus crispus","A3",2
"Pinodelcuervo","Cistus crispus","A3",2
"Lasmulas","Cistus ladanifer","A3",1
"Pinodelcuervo","Cistus ladanifer","A3",2
"Lasmulas","Cistus libanotis","A3",1
"PinaresdeHinojos","Cistus libanotis","A3",2
"Bonares","Cistus salvifolius","A3",1
"CotitodeSantaTeresa","Cistus salvifolius","A3",2
"Esparragal","Cistus salvifolius","A3",1
"LaCunya","Cistus salvifolius","A3",1
"Lasmulas","Cistus salvifolius","A3",1
"PinaresdeHinojos","Cistus salvifolius","A3",1
"Urbanizaciones","Cistus salvifolius","A3",1
"LaRocina","Halimium commutatum","A3",2
"Lasmulas","Halimium commutatum","A3",2
"Pinodelcuervo","Halimium commutatum","A3",1
"Urbanizaciones","Halimium commutatum","A3",1
"ConventodelaLuz","Halimium halimifolium","A3",2
"Esparragal","Halimium halimifolium","A3",2
"Villamanriquesur","Halimium halimifolium","A3",1
"Esparragal","Lavandula pedunculata","A3",3
"LaCunya","Lavandula pedunculata","A3",1
"Urbanizaciones","Lavandula pedunculata","A3",1
"Bonares","Lavandula stoechas","A3",2
"ConventodelaLuz","Lavandula stoechas","A3",5
"CotitodeSantaTeresa","Lavandula stoechas","A3",2
"Lasmulas","Lavandula stoechas","A3",2
"Urbanizaciones","Lavandula stoechas","A3",3
"Villamanriquesur","Lavandula stoechas","A3",3
"Niebla","Phlomis purpurea","A3",4
"Elpinar","Rosmarinus officinalis","A3",1
"Elpozo","Rosmarinus officinalis","A3",8
"LaCunya","Rosmarinus officinalis","A3",2
"Pinodelcuervo","Rosmarinus officinalis","A3",4
"Urbanizaciones","Rosmarinus officinalis","A3",1
"Elpozo","Spartium junceum","A3",2
"LaRocina","Anchusa azurea","B1",5
"Aznalcazar","Asphodelus fistulosus","B1",3
"Niebla","Asphodelus fistulosus","B1",3
"CotitodeSantaTeresa","Cistus albidus","B1",2
"Bonares","Cistus crispus","B1",2
"Pinodelcuervo","Cistus crispus","B1",3
"Villamanriquesur","Cistus crispus","B1",2
"Aznalcazar","Cistus ladanifer","B1",1
"Bonares","Cistus ladanifer","B1",2
"ConventodelaLuz","Cistus ladanifer","B1",1
"Niebla","Cistus ladanifer","B1",1
"Pinodelcuervo","Cistus ladanifer","B1",1
"Villamanriquesur","Cistus ladanifer","B1",2
"Lasmulas","Cistus libanotis","B1",2
"PinaresdeHinojos","Cistus libanotis","B1",2
"Bonares","Cistus salvifolius","B1",2
"ConventodelaLuz","Cistus salvifolius","B1",2
"CotitodeSantaTeresa","Cistus salvifolius","B1",2
"LaCunya","Cistus salvifolius","B1",1
"Lasmulas","Cistus salvifolius","B1",3
"PinaresdeHinojos","Cistus salvifolius","B1",2
"Urbanizaciones","Cistus salvifolius","B1",2
"Pinodelcuervo","Halimium commutatum","B1",1
"Villamanriquesur","Halimium halimifolium","B1",2
"Esparragal","Lavandula pedunculata","B1",3
"LaCunya","Lavandula pedunculata","B1",2
"Niebla","Lavandula pedunculata","B1",4
"Bonares","Lavandula stoechas","B1",3
"Lasmulas","Lavandula stoechas","B1",2
"Urbanizaciones","Lavandula stoechas","B1",4
"Villamanriquesur","Lavandula stoechas","B1",3
"Niebla","Phlomis purpurea","B1",4
"ConventodelaLuz","Rosmarinus officinalis","B1",5
"CotitodeSantaTeresa","Rosmarinus officinalis","B1",4
"Elpinar","Rosmarinus officinalis","B1",3
"Elpozo","Rosmarinus officinalis","B1",7
"LaCunya","Rosmarinus officinalis","B1",4
"Pinodelcuervo","Rosmarinus officinalis","B1",1
"Urbanizaciones","Rosmarinus officinalis","B1",4
"Elpozo","Spartium junceum","B1",1
"LaRocina","Spartium junceum","B1",5
"ConventodelaLuz","Teucrium fruticans","B1",2
"Bonares","Ulex australis","B1",2
"Pinodelcuervo","Ulex australis","B1",2
"Aznalcazar","Asphodelus fistulosus","B2",3
"Niebla","Asphodelus fistulosus","B2",3
"Pinodelcuervo","Asphodelus fistulosus","B2",1
"CotitodeSantaTeresa","Cistus albidus","B2",1
"Bonares","Cistus crispus","B2",5
"Niebla","Cistus crispus","B2",2
"Pinodelcuervo","Cistus crispus","B2",3
"Villamanriquesur","Cistus crispus","B2",4
"Bonares","Cistus ladanifer","B2",1
"Pinodelcuervo","Cistus ladanifer","B2",1
"Lasmulas","Cistus libanotis","B2",2
"PinaresdeHinojos","Cistus libanotis","B2",1
"Bonares","Cistus salvifolius","B2",1
"ConventodelaLuz","Cistus salvifolius","B2",2
"CotitodeSantaTeresa","Cistus salvifolius","B2",2
"LaCunya","Cistus salvifolius","B2",3
"PinaresdeHinojos","Cistus salvifolius","B2",2
"Urbanizaciones","Cistus salvifolius","B2",2
"Lasmulas","Halimium commutatum","B2",1
"Pinodelcuervo","Halimium commutatum","B2",2
"Villamanriquesur","Halimium halimifolium","B2",2
"Aznalcazar","Lavandula pedunculata","B2",5
"Esparragal","Lavandula pedunculata","B2",3
"LaCunya","Lavandula pedunculata","B2",3
"Niebla","Lavandula pedunculata","B2",2
"Bonares","Lavandula stoechas","B2",3
"Lasmulas","Lavandula stoechas","B2",1
"Urbanizaciones","Lavandula stoechas","B2",2
"Villamanriquesur","Lavandula stoechas","B2",2
"Niebla","Phlomis purpurea","B2",4
"PinaresdeHinojos","Retama sphaerocarpa","B2",2
"ConventodelaLuz","Rosmarinus officinalis","B2",3
"CotitodeSantaTeresa","Rosmarinus officinalis","B2",3
"Elpinar","Rosmarinus officinalis","B2",3
"Elpozo","Rosmarinus officinalis","B2",5
"LaCunya","Rosmarinus officinalis","B2",3
"Urbanizaciones","Rosmarinus officinalis","B2",4
"Elpozo","Spartium junceum","B2",3
"LaRocina","Spartium junceum","B2",3
"ConventodelaLuz","Teucrium fruticans","B2",3
"Bonares","Ulex australis","B2",2
"Pinodelcuervo","Ulex australis","B2",1
"Aznalcazar","Asphodelus fistulosus","B3",4
"Niebla","Asphodelus fistulosus","B3",2
"Pinodelcuervo","Asphodelus fistulosus","B3",2
"Bonares","Cistus crispus","B3",2
"Niebla","Cistus crispus","B3",2
"Pinodelcuervo","Cistus crispus","B3",2
"Bonares","Cistus ladanifer","B3",1
"Lasmulas","Cistus ladanifer","B3",1
"Pinodelcuervo","Cistus ladanifer","B3",1
"Lasmulas","Cistus libanotis","B3",1
"PinaresdeHinojos","Cistus libanotis","B3",2
"Bonares","Cistus salvifolius","B3",2
"ConventodelaLuz","Cistus salvifolius","B3",1
"CotitodeSantaTeresa","Cistus salvifolius","B3",1
"PinaresdeHinojos","Cistus salvifolius","B3",1
"Urbanizaciones","Cistus salvifolius","B3",2
