"","links_sps","num_compartments","weighted_NODF","link_dens","weigh_connectance","Shannon","int_evenness","H2","species.poll","species.pl","niche.overlap.poll","niche.overlap.plant","robustness.poll","robustness.plant","functional.comp.poll","functional.comp.plant","modularity","z","nodf.song"
"links_sps",1,-0.23,0.08,0.4,-0.04,0.59,0.4,-0.68,0.45,0.36,-0.17,0.57,0.4,0.3,0.73,0.73,-0.47,0.32,-0.5
"num_compartments",-0.23,1,0.17,-0.04,-0.08,-0.03,-0.56,-0.17,-0.02,0.45,0.11,-0.51,-0.66,0.41,0.11,0.06,-0.09,-0.33,-0.1
"weighted_NODF",0.08,0.17,1,0.19,0.72,-0.33,-0.12,-0.14,-0.36,-0.16,0.73,0.31,-0.56,0.24,-0.13,-0.14,-0.67,-0.19,-0.23
"link_dens",0.4,-0.04,0.19,1,0.46,0.64,0.61,-0.23,0.75,0,0.46,0.39,0.15,-0.45,0.29,0.4,-0.3,0.45,-0.88
"weigh_connectance",-0.04,-0.08,0.72,0.46,1,-0.32,0.28,-0.04,-0.23,-0.61,0.95,0.5,-0.32,-0.34,-0.42,-0.41,-0.65,-0.21,-0.29
"Shannon",0.59,-0.03,-0.33,0.64,-0.32,1,0.53,-0.42,0.94,0.58,-0.33,0.06,0.47,-0.09,0.68,0.78,0.16,0.51,-0.69
"int_evenness",0.4,-0.56,-0.12,0.61,0.28,0.53,1,-0.22,0.51,-0.31,0.12,0.48,0.67,-0.58,-0.08,0.05,0.02,0.27,-0.43
"H2",-0.68,-0.17,-0.14,-0.23,-0.04,-0.42,-0.22,1,-0.24,-0.38,0.03,-0.36,-0.13,-0.3,-0.44,-0.37,0.46,0.27,0.33
"species.poll",0.45,-0.02,-0.36,0.75,-0.23,0.94,0.51,-0.24,1,0.42,-0.22,0.07,0.45,-0.28,0.6,0.71,0.17,0.62,-0.73
"species.pl",0.36,0.45,-0.16,0,-0.61,0.58,-0.31,-0.38,0.42,1,-0.51,-0.33,-0.14,0.59,0.78,0.78,0.12,0.15,-0.24
"niche.overlap.poll",-0.17,0.11,0.73,0.46,0.95,-0.33,0.12,0.03,-0.22,-0.51,1,0.33,-0.48,-0.32,-0.41,-0.4,-0.57,-0.2,-0.32
"niche.overlap.plant",0.57,-0.51,0.31,0.39,0.5,0.06,0.48,-0.36,0.07,-0.33,0.33,1,0.29,-0.2,0.14,0.12,-0.63,0.25,-0.14
"robustness.poll",0.4,-0.66,-0.56,0.15,-0.32,0.47,0.67,-0.13,0.45,-0.14,-0.48,0.29,1,-0.33,0.14,0.2,0.28,0.34,-0.07
"robustness.plant",0.3,0.41,0.24,-0.45,-0.34,-0.09,-0.58,-0.3,-0.28,0.59,-0.32,-0.2,-0.33,1,0.46,0.35,-0.27,-0.19,0.11
"functional.comp.poll",0.73,0.11,-0.13,0.29,-0.42,0.68,-0.08,-0.44,0.6,0.78,-0.41,0.14,0.14,0.46,1,0.97,-0.2,0.47,-0.48
"functional.comp.plant",0.73,0.06,-0.14,0.4,-0.41,0.78,0.05,-0.37,0.71,0.78,-0.4,0.12,0.2,0.35,0.97,1,-0.1,0.58,-0.56
"modularity",-0.47,-0.09,-0.67,-0.3,-0.65,0.16,0.02,0.46,0.17,0.12,-0.57,-0.63,0.28,-0.27,-0.2,-0.1,1,0.21,0.28
"z",0.32,-0.33,-0.19,0.45,-0.21,0.51,0.27,0.27,0.62,0.15,-0.2,0.25,0.34,-0.19,0.47,0.58,0.21,1,-0.39
"nodf.song",-0.5,-0.1,-0.23,-0.88,-0.29,-0.69,-0.43,0.33,-0.73,-0.24,-0.32,-0.14,-0.07,0.11,-0.48,-0.56,0.28,-0.39,1
